   0.000   0.037  -0.125   0.226   0.084  -0.036   0.156   0.498   0.377   0.616  -0.169  -0.269  -0.061
   0.010   0.037  -0.125   0.226   0.084  -0.035   0.158   0.498   0.377   0.616  -0.169  -0.269  -0.061
   0.020   0.037  -0.123   0.226   0.084  -0.029   0.177   0.498   0.377   0.616  -0.169  -0.269  -0.061
   0.030   0.037  -0.122   0.226   0.084  -0.023   0.196   0.498   0.377   0.616  -0.169  -0.269  -0.061
   0.040   0.041  -0.120   0.233   0.090  -0.017   0.214   0.498   0.377   0.616  -0.169  -0.269  -0.061
   0.050   0.049  -0.119   0.246   0.104  -0.011   0.233   0.498   0.377   0.616  -0.156  -0.269  -0.060
   0.060   0.057  -0.117   0.259   0.117  -0.006   0.252   0.498   0.377   0.616  -0.141  -0.269  -0.048
   0.070   0.066  -0.116   0.272   0.131   0.000   0.271   0.498   0.377   0.616  -0.126  -0.269  -0.036
   0.080   0.074  -0.114   0.285   0.144   0.006   0.290   0.488   0.369   0.615  -0.110  -0.256  -0.025
   0.090   0.082  -0.113   0.298   0.158   0.012   0.309   0.478   0.362   0.598  -0.095  -0.243  -0.013
   0.100   0.091  -0.111   0.311   0.171   0.018   0.327   0.467   0.355   0.582  -0.079  -0.231   0.014
   0.110   0.099  -0.110   0.324   0.185   0.024   0.346   0.457   0.347   0.565  -0.069  -0.214   0.045
   0.120   0.109  -0.108   0.337   0.199   0.030   0.365   0.446   0.339   0.548  -0.060  -0.193   0.071
   0.130   0.120  -0.107   0.350   0.212   0.036   0.384   0.434   0.331   0.537  -0.050  -0.185   0.081
   0.140   0.131  -0.105   0.364   0.226   0.041   0.404   0.423   0.322   0.528  -0.041  -0.180   0.090
   0.150   0.141  -0.104   0.377   0.235   0.046   0.424   0.412   0.313   0.519  -0.032  -0.174   0.100
   0.160   0.152  -0.103   0.387   0.244   0.050   0.445   0.401   0.305   0.511  -0.014  -0.169   0.109
   0.170   0.163  -0.101   0.380   0.253   0.054   0.465   0.389   0.296   0.502   0.009  -0.163   0.119
   0.180   0.174  -0.100   0.373   0.261   0.058   0.485   0.375   0.288   0.493   0.033  -0.149   0.206
   0.190   0.177  -0.098   0.367   0.270   0.062   0.496   0.356   0.200   0.482   0.057  -0.130   0.233
   0.200   0.172  -0.097   0.360   0.279   0.066   0.496   0.337   0.173   0.468   0.080  -0.110   0.261
   0.210   0.168  -0.091   0.353   0.288   0.070   0.495   0.318   0.145   0.455   0.104  -0.084   0.370
   0.220   0.164  -0.083   0.347   0.297   0.074   0.495   0.299   0.118   0.441   0.146  -0.058   0.407
   0.230   0.159  -0.076   0.340   0.305   0.078   0.495   0.278   0.094   0.425   0.198  -0.018   0.445
   0.240   0.155  -0.068   0.334   0.299   0.082   0.494   0.245   0.070   0.393   0.250   0.038   0.487
   0.250   0.151  -0.060   0.327   0.293   0.086   0.494   0.211   0.047   0.365   0.302   0.073   0.529
   0.260   0.147  -0.053   0.320   0.287   0.090   0.493   0.178   0.023   0.343   0.352   0.104   0.570
   0.270   0.142  -0.045   0.314   0.281   0.094   0.493   0.145   0.005   0.321   0.402   0.210   0.584
   0.280   0.144  -0.038   0.314   0.274   0.089   0.493   0.128  -0.008   0.299   0.423   0.239   0.598
   0.290   0.148  -0.030   0.318   0.268   0.078   0.492   0.118  -0.022   0.273   0.441   0.268   0.601
   0.300   0.152  -0.023   0.322   0.262   0.067   0.492   0.108  -0.035   0.246   0.459   0.331   0.592
   0.310   0.156  -0.015   0.325   0.256   0.056   0.491   0.098  -0.049   0.223   0.477   0.371   0.583
   0.320   0.160  -0.008   0.329   0.248   0.045   0.491   0.088  -0.062   0.217   0.476   0.362   0.574
   0.330   0.165  -0.000   0.332   0.230   0.034   0.491   0.078  -0.066   0.212   0.464   0.353   0.565
   0.340   0.169   0.007   0.336   0.213   0.023   0.479   0.077  -0.057   0.206   0.451   0.344   0.555
   0.350   0.173   0.015   0.339   0.195   0.009   0.454   0.084  -0.047   0.211   0.439   0.335   0.546
   0.360   0.177   0.023   0.343   0.177  -0.008   0.429   0.092  -0.038   0.220   0.427   0.326   0.537
   0.370   0.181   0.030   0.347   0.160  -0.025   0.403   0.099  -0.029   0.229   0.414   0.288   0.523
   0.380   0.185   0.038   0.350   0.142  -0.042   0.378   0.106  -0.020   0.238   0.402   0.249   0.501
   0.390   0.191   0.049   0.354   0.125  -0.059   0.353   0.113  -0.010   0.247   0.374   0.212   0.479
   0.400   0.199   0.060   0.357   0.107  -0.076   0.327   0.126  -0.001   0.256   0.327   0.190   0.457
   0.410   0.207   0.070   0.362   0.091  -0.092   0.302   0.148   0.016   0.266   0.280   0.168   0.435
   0.420   0.216   0.081   0.367   0.078  -0.109   0.279   0.170   0.041   0.275   0.247   0.146   0.394
   0.430   0.224   0.092   0.373   0.064  -0.126   0.255   0.179   0.065   0.284   0.223   0.125   0.351
   0.440   0.233   0.103   0.378   0.050  -0.133   0.231   0.183   0.090   0.293   0.200   0.104   0.310
   0.450   0.241   0.114   0.384   0.037  -0.135   0.208   0.187   0.092   0.295   0.177   0.085   0.270
